title,description,sentiment
"Microsoft, OpenAI, and a US Teachers’ Union Are Hatching a Plan to ‘Bring AI into the Classroom’","The National Academy for AI Instruction will make artificial intelligence training accessible to educators across the country, according to leaked details.",negative
OpenAI’s Unreleased AGI Paper Could Complicate Microsoft Negotiations,"The partnership between OpenAI and Microsoft in many ways hinges on the definition of artificial general intelligence, creating a tension that has spilled over into OpenAI research that has not been made public.",negative
Delta Air Lines is using AI to set the maximum price you’re willing to pay,"Delta Air Lines is leaning into dynamic ticket pricing that uses artificial intelligence to individually determine the highest fee you’d willingly pay for flights, according to comments Fortune spotted in the company’s latest earnings call. Following a limite…",positive
Bernie Sanders Reveals the AI ‘Doomsday Scenario’ That Worries Top Experts,"The Vermont senator discusses his fears that artificial intelligence will only enrich the billionaire class, the fight for a 32-hour work week, and the ‘doomsday scenario’ that has some of the world’s top experts deeply concerned.",negative
A Federal Moratorium on State AI Rules Is Inching Closer to Passing. Why It Matters,Congress is considering a policy that would stop states from having their own regulations around artificial intelligence.,neutral
These 4 charts show where the hedge fund industry is midway through 2025,"How the hedge fund industry is navigating choppy markets, geopolitical tensions, and artificial intelligence trends.",negative
M3gan 2.0 is a fun upgrade that’s a little too self-aware,"Universal and Blumhouse's first M3gan feature came out of nowhere with a premise so ridiculous and campy that it was hard not to be at least a little intrigued. Equal parts Child's Play and Small Wonder, M3gan was undeniably silly with its story about an AI-p…",negative
"It Started with Games, now It’s the World’s First Ever $4 Trillion Company",Nvidia hits a historic milestone as Wall Street’s biggest bet on AI pays off.,neutral
Andy Cohen on How He Uses AI: ‘It’s an Incredible Tool. But It’s Going to Make Idiots’,"The Bravo ringleader spills the tea on how he uses ChatGPT and why he's hiding it from his kids. ""I'm completely torn.""",positive
Congress Dropped a Plan to Block State AI Rules. Why That Matters for Consumers,A proposed 10-year moratorium on states enforcing rules around artificial intelligence was pulled from the federal budget bill in the Senate.,negative
"Microsoft transfers a top cybersecurity executive out of the company's security group, internal memo shows","Igor Tsyganskiy is moving under Cloud + AI boss Scott Guthrie, another sign of how important artificial intelligence is becoming to Microsoft.",positive
OpenAI Reportedly Shuts Down for a Week as Zuck Poaches Its Top Talent,An employee's public lament over poached colleagues and a company-wide shutdown reveal a difficult truth: the human cost of building AI is reaching a breaking point.,negative
Artificial intelligence fuels Big Tech partnerships with nuclear energy producers,The A.I. industry seems set for growing pains as Big Tech companies scramble for solutions to the medium's unprecedented strain on the power grid.,positive
The Latest ‘Alien: Earth’ Trailer Adds Even More Alien Monsters,"Sydney Chandler, Timothy Olyphant, and Alex Lawther star in the new FX show, starting August 12.",positive
The photographer using AI to reconstruct stories lost to censorship,"Video screens glow softly from the floor, looping footage of salt lakes, steppe villages, and decaying nuclear test sites. Suspended above them is a large handwoven textile map, crafted by artisans in Kazakhstan. The tapestry maps 12 significant sites across …",positive
"Elon Musk’s Newest AI Chatbot Is Powerful, Controversial, and Already Under Fire","Grok 4 is xAI’s most advanced model yet, but early praise is clashing with old scandals and fresh tests of its limits.",positive
Nvidia rally persists: What worries this analyst about AI trade,"Nvidia (NVDA) climbs higher, hitting fresh record highs. However, the artificial intelligence (AI) chipmaker and its ""Magnificent Seven"" peers have...",positive
Nvidia has 2 big 'upside opportunities' fueling long-term growth,"Nvidia's (NVDA) future still looks bright with new artificial intelligence (AI), robotics, and software opportunities on the horizon. Yahoo Finance...",positive
Nvidia says it will resume sale of key AI chip to China,Nvidia NVDA.O said on Monday it will resume sales of its H20 artificial intelligence chip to China and has introduced a new model tailored to meet regulatory...,negative
Over a Third of US Population Uses GenAI,"Generative artificial intelligence tools are being used by more than a third of the US population, and even more are interacting with it through search and...",positive
"Cloudflare limits ""AI crawlers"" from gathering online data","In a few short years, artificial intelligence has exploded into the mainstream, but it hasn't done so alone. AI companies use bots known as ""AI crawlers"" to ...",negative
Anthropic wins ruling on AI training in copyright lawsuit but must face trial on pirated books,"In a test case for the artificial intelligence industry, a federal judge has ruled that AI company Anthropic didn’t break the law by training its chatbot...",negative
"Code of practice to help companies with AI rules may come end 2025, EU says",BRUSSELS (Reuters) -A code of practice designed to help thousands of companies comply with the European Union's landmark artificial intelligence rules may...,negative
Musk releases latest Grok version after antisemitism controversy,Elon Musk’s artificial intelligence (AI) company xAI unveiled the newest version of its chatbot Grok on Wednesday amid fallout from a recent update that...,negative
Nvidia’s Jensen Huang says AI could lead to job losses ‘if the world runs out of ideas’,"The chief executive of the world’s leading chipmaker warned that while artificial intelligence will significantly boost workplace productivity, it could lead...",negative
AI and drones still need help from humans to find missing flood victims,"With humans and artificial intelligence working together, flood search-and-rescue teams can successfully use existing systems.

For search and rescue, AI is not more accurate than humans, but it is far faster.",positive
AI Might Kill Us All (With Carbon Emissions),"So-called artificial intelligence (AI) is all the rage right now between your grandma asking ChatGPT how to code in Python or influencers making videos without having to hire extras, but one growin…",negative
AI Is Only Coming For Fun Jobs,"In the past few years, what marketers and venture capital firms term “artificial intelligence” but is more often an advanced predictive text model of some sort has started taking people’s …read more",positive
This Artificial Intelligence (AI) Stock Is Underappreciated and Undervalued,,neutral
Zuckerberg Was Wrong About the Metaverse. Can We Really Trust Him With Superintelligent AI?,"After sinking billions into a virtual fantasy that flopped, Mark Zuckerberg now claims he’s leading the charge toward superintelligent AI. But this time, the stakes are real, and so is the power grab.",positive
Meta Poaches Two More Apple AI Executives,"After poaching one of Apple's top artificial intelligence executives with a $200 million pay package to lure him away from the company, Meta has now hired two of his subordinates, Bloomberg reports.





Apple's Mark Lee and Tom Gunter are set to join Meta's …",negative
"Galaxy Watch 7 Is Almost Free, Amazon Clears Out Samsung Watches on Prime Day","If you have an Android phone, the Galaxy Watch 7 costs three times less than an Apple Watch.",negative
Trump Wants Border Surveillance Towers That Only Palmer Luckey Can Build,Sure looks like a handout for a Trump ally.,positive
"Galaxy Buds 3 Pro Hit New Record Low, Amazon Selling Them Cheaper Than Samsung’s Own Site",These are the best truly AI-powered earbuds.,positive
OpenAI Says It Has No Plan To Use Google's In-house Chip,"An anonymous reader shares a report: OpenAI said it has no active plans to use Google's in-house chip to power its products, two days after Reuters and other news outlets reported on the AI lab's move to turn to its competitor's artificial intelligence chips …",negative
BYU study: Why some people choose not to use artificial intelligence,"Concerns about safety, ethics and unreliability top the list",positive
Meta Offered Apple AI Executive Over $200 Million to Leave,"Meta offered one of Apple's top artificial intelligence executives over $200 million to lure him away from the company, Bloomberg reports.





Ruoming Pang, who until recently led Apple's foundation models team, departed the company to join Meta's Superintel…",negative
"Nominate innovators for Business Insider's AI Power List, recognizing the most powerful people in AI",We're looking for the most powerful people in AI and machine learning  for Business Insider's 2025 AI Power List.,positive
"Nvidia Hits $4 Trillion Market Cap, First Company To Do So","Nvidia shares jumped more than 2% on Wednesday, topping a $4 trillion market cap for the first time as investors scooped stock in the tech giant building the hardware for the generative AI boom. From a report: The chipmaker is the first company to ever achiev…",positive
A recent high-profile case of AI hallucination serves as a stark warning,MyPillow creator Mike Lindell's lawyers were fined thousands for submitting a legal filing riddled with AI-generated mistakes. It highlights a dilemma of balancing technology and using it responsibly.,positive
The Computer-Science Bubble Is Bursting,Artificial intelligence is ideally suited to replacing the very type of person who built it.,positive
"We’re Light-Years Away from True Artificial Intelligence, Says Murderbot Author Martha Wells","Today’s large language models are hardly related to the kinds of machine intelligence we see in science fiction, according to Martha Wells, author of the Murderbot Diaries series",positive
Tests that AIs Often Fail and Humans Ace Could Pave the Way for Artificial General Intelligence,"Discover why some puzzles stump supersmart AIs but are easy for humans, what this reveals about the quest for true artificial general intelligence—and why video games are the next frontier",positive
Apple shareholders sue over Apple Intelligence and Siri delays,"Apple is continuing to face fallout from its Apple Intelligence rollout. As spotted by Reuters, Apple shareholders have sued Apple in a proposed class action securities fraud case for allegedly “downplaying how long it needed to integrate advanced artificial …",negative
Musk's Grok signs $200m deal with Pentagon days after antisemitism row,The deal is part of the Trump administration's push for more aggressive adoption of artificial intelligence in the government.,negative
"36% of Chinese Undergraduates Choose Engineering, Compared To 5% in US and UK","36% of all Chinese undergraduate entrants -- about 1.6 million people -- selected engineering degrees in 2022 (the latest year for which data are available), up from 32% in 2010, according to data from China's Ministry of Education. In Britain and America, wh…",positive
"Got $5,000? These 3 Artificial Intelligence Stocks Are Absurdly Cheap Right Now.",,neutral
This Artificial Intelligence (AI) Stock Just Hit a New High -- and It's Still a Buy,,neutral
Xi Jinping is questioning if all of China should chase the same AI and EV dreams,"China's top leadership  has recently pledged to curb ""involutionary"" competition amid intense price wars in the country.",positive
Meta Is Building Massive Gigawatt Data Centers as It Pours Billions Into AI,"""Just one of these covers a significant part of the footprint of Manhattan,” Mark Zuckerberg said.",positive
Truth Social Needs Its Own Grok. Trump Has the Trademarks,A MAGA-bot could be on the way.,neutral
OpenAI Is Trying to Reset,The company behind ChatGPT tries to regain its footing as the talent war heats up.,negative
"Tesla’s Numbers Are In, and They’re Not Good","The electric vehicle maker has posted its second straight quarter of declining deliveries this year, continuing to pay the price for Elon Musk's political turn.",positive
An Engineer’s Diary Reveals the Human Cost of Building OpenAI’s Next Big Thing,"With a newborn at home, a former top engineer details the grueling, 7-week sprint that pushed a small team to its absolute limit to ship a world-changing product.",positive
The Hidden Cost of OpenAI’s Genius,"The creator of ChatGPT is handing out stock packages that exceed its total revenue, a high stakes gamble to keep its engineers from defecting to rivals like Meta.",positive
OpenAI Quietly Turns to Google to Stay Online,The most powerful artificial intelligence company in the world just admitted it needs help from one of its biggest rivals to stay afloat.,positive
Nvidia CEO to hold media briefing in Beijing on July 16,"BEIJING (Reuters) -Nvidia CEO Jensen Huang will hold a media briefing in Beijing on July 16, an official from the company said on Sunday, marking his second ...",neutral
AI could harm your critical thinking skills. Should that change how you use it?,"A study tracked the learning and thinking behaviors of ChatGPT users, and early conclusions suggest a concerning trend. What does that mean for you?",negative
Elon Musk’s Nazi Robot Just Landed a Contract With the Department of Defense,"xAI said it would be ""turning shovels into tokens.""",neutral
Fox News AI Newsletter: Trump Cabinet official impersonated,Stay up to date on the latest AI technology advancements and learn about the challenges and opportunities AI presents now and for the future.,positive
SoftBank's Son Pitches $1 Trillion Arizona AI Hub,"An anonymous reader quotes a report from Reuters: SoftBank Group founder Masayoshi Son is envisaging setting up a $1 trillion industrial complex in Arizona that will build robots and artificial intelligence, Bloomberg News reported on Friday, citing people fa…",negative
Fed Chair Powell Says AI Is Coming For Your Job,"Federal Reserve Chair Jerome Powell told the U.S. Senate that while AI hasn't yet dramatically impacted the economy or labor market, its transformative effects are inevitable -- though the timeline remains uncertain. The Register reports: Speaking to the US S…",neutral
Chinese Film Foundation Plans to Use AI to 'Revitalize' 100 Classic Kung Fu Films,"""The China Film Foundation, a nonprofit fund under the Chinese government, plans to use AI to revitalize 100 kung fu classics including Police Story, Once Upon a Time in China and Fist of Fury, featuring Jackie Chan, Jet Li and Bruce Lee, respectively,"" repor…",neutral
An AI That Promises to “Solve All Diseases” Is About to Test Its First Human Drugs,"A secretive, Google-backed lab is using artificial intelligence to invent new medicines for humanity's worst illnesses. But can we trust drugs designed by a mind that isn't human?",negative
Major Tech Company Announces More Layoffs,"The ever-developing world of artificial intelligence has companies making major changes all across the board. Microsoft announced layoffs in May, cutting...",negative
"Barack Obama Warns AI Revolution Is 'Not Hype,' Says 'You're Going To Start Seeing Shifts...'","Former President Barack Obama warned that artificial intelligence is ""coming to your neighborhood faster than you think,"" saying the technology is already...",negative
Taiwan Semi profit booms by 61% as Nvidia buoys demand,"Taiwan Semiconductor Manufacturing Co., the contract manufacturer for companies including Nvidia and Apple, on Thursday said its profit surged in the second quarter due to artificial-intelligence demand.",negative
Nvidia Gets US Green Light to Sell H20 AI Chips to China,"Nvidia Corp. plans to resume sales of its H20 AI chip to China after securing Washington's assurances that such shipments would get approved, a dramatic...",negative
"Apple Needs 'Product-Focused CEO,' Say Analysts As Tim Cook Faces Heat Over AI Failures And Innovation Slump",Analysts from LightShed Partners have suggested that Apple Inc. (NASDAQ:AAPL) should consider a change in leadership to prioritize product innovation...,neutral
‘Elon Musk Gives Himself Another Handshake’,"Berber Jin and Becky Peterson, Wall Street Journal: Elon Musk’s SpaceX has agreed to invest $2 billion in his artificial-intelligence company xAI, investors close to the companies said, nearly half of the Grok chatbot maker’s recent equity raise. This comes j…",negative
"Beware of Promoting AI in Products, Researchers Warn Marketers","The Wall Street Journal reports that ""consumers have less trust in offerings labeled as being powered by artificial intelligence, which can reduce their interest in buying them, researchers say.""



 The effect is especially pronounced for offerings perceived…",negative
Why I want the EU to pause the AI Act — as a climate advocate,"“There is no stop the clock. There is no grace period. There is no pause.” So said Thomas Regnier, a spokesman for the European Commission, in response to calls for a pause on the EU’s AI Act. These landmark rules on artificial intelligence will, then, be rol…",negative
This is how OpenAI COO Brad Lightcap defines AI agents,OpenAI COO Brad Lightcap says an AI agent should be able to take on work it hasn't seen before. OpenAI released its latest agent this week.,positive
OpenAI and Microsoft are dueling over AGI. These real-world tests will prove when AI is really better than humans.,The most important AI partnership in the world partly revolves around whether OpenAI achieves AGI. I propose several practical tests.,positive
The dangers of so-called AI experts believing their own hype,"Beware the tech leaders making grandiose statements about artificial intelligence. They have lost sight of reality, says Philip Ball",negative
US senators warn Nvidia CEO about upcoming China trip,"SAN FRANCISCO (Reuters) -A bipartisan pair of U.S. senators sent a letter to Nvidia CEO Jensen Huang on Friday about an upcoming trip to China, warning the...",neutral
Microsoft Sued By Authors Over Use of Books in AI Training,"Microsoft has been hit with a lawsuit by a group of authors who claim the company used their books without permission to train its Megatron artificial intelligence model. From a report: Kai Bird, Jia Tolentino, Daniel Okrent and several others alleged that Mi…",negative
"Microsoft Just Fired About 9,000 People While Making Billions",The tech giant is posting staggering profits and leading the AI revolution.,neutral
Uber Announces Global Robotaxi Plan With Lucid and Nuro,The rideshare company plans to invest several hundred million dollars into the program.,neutral
"Marginalized Americans are highly skeptical of artificial intelligence, research finds","Artificial intelligence may be marketed as society's great equalizer—transforming businesses, streamlining work and making life easier for all—but for many marginalized Americans, AI doesn't feel like a promise.",positive
Anthropic signs a $200mm deal with the Department of Defense,"The U.S. Department of Defense (DOD), through its Chief Digital and Artificial Intelligence Office (CDAO), has awarded Anthropic a two-year prototype other transaction agreement with a $200 million ceiling. As part of the agreement, Anthropic will prototype f…",negative
Will we ever feel comfortable with AIs taking on important tasks?,An example from the history of mathematics shows how views on the trustworthiness of artificial intelligence can quickly start to change,negative
"After Soaring by 80% During the First Half of 2025, Could This Unstoppable Artificial Intelligence (AI) Stock Be Wall Street's Next Stock-Split Candidate?",,neutral
Apple's Tim Cook and Eddy Cue Attend 2025 Sun Valley Conference,"Apple CEO Tim Cook and Senior Vice President of Services Eddy Cue are attending the 2025 Allen & Company Sun Valley Conference in Idaho, joining an exclusive gathering of global leaders from the technology, media, finance, and political sectors (via Fortune).…",neutral
"SpaceX to invest $2 billion in Musk's xAI startup, WSJ reports","The investment follows xAI's merger with X and values the combined company at $113 billion, with the Grok chatbot now powering Starlink support and eyed for ...",neutral
"Slack gets smarter: New AI tools summarize chats, explain jargon, and automate work",Slack launches comprehensive AI features including enterprise search and writing assistance as Salesforce challenges Microsoft's workplace AI dominance while blocking rival access to platform data.,neutral
"Quantum computing is so fire — No, seriously. BofA says it could be humanity’s biggest breakthrough since the discovery of fire","""A technology that can perform endless complex calculations in zero-time, warp-speeding human knowledge and development.""",negative
CoreWeave Data Center To Double City's Power Needs,"An anonymous reader quotes a report from Bloomberg: CoreWeave is expanding a data center that is projected to double the electricity needs of a city near Dallas, another example of the strains that artificial intelligence workloads are placing on the US power…",negative
The Startup-Filled Coder 'Village' at the Heart of China's AI Frenzy,"China ""is pouring money into building an AI supply chain with as little reliance on the U.S. as possible,"" the Wall Street Journal noted this weekend. 

But what does that look like? The New York Times visits Liangzhu, ""the coder 'village' at the heart of Chi…",negative
California Set To Become First US State To Manage Power Outages With AI,"An anonymous reader quotes a report from MIT Technology Review: California's statewide power grid operator is poised to become the first in North America to deploy artificial intelligence to manage outages, MIT Technology Review has learned. ""We wanted to mod…",negative
"Why the next app for relationships won't look like a dating app, according to a VC",Amber Atherton is a VC looking for the next big app to disrupt how we build new and maintain our existing relationships.,positive
New York tech leaders are trying to unseat San Francisco for the future of the industry,"New York is investing in its AI industry. Tech:NYC, an organization aimed at growing the city's tech industry, also secured new funding.",positive
WeWork's former top lawyer wants to do with fund docs what TurboTax did for tax prep. Big Law should be nervous.,Covenant wants to do for fund docs what TurboTax did for tax prep: make the old way look unnecessarily expensive.,negative
"As Zuck Races to Build Godlike AI, Women and People of Color Aren’t Invited",Mark Zuckerberg’s elite dream team wants to create machines that surpass human intelligence. But how can they build something for everyone when they don’t represent everyone?,positive
Pixar's chief creative officer says AI is 'the least impressive blah average of things',"Pixar's chief creative officer, Pete Docter, told comedian Mike Birbiglia that he doesn't think AI will fully replace humans in animated filmmaking.",positive
Mistral AI CEO says AI's biggest threat is people getting lazy,"The exec, who cofounded Mistral in 2023, said humans needed to remain actively involved in reviewing AI output to avoid ""deskilling.""",negative
Top OpenAI exec is skeptical of Dario Amodei's prediction that AI will wipe out white-collar jobs,Open AI COO Brad Lightcap said Anthropic's Dario Amodei is wrong to suggest AI will destroy white-collar jobs in the next one to five years.,negative
Bernie Sanders says AI should be used to help give people a 4-day workweek,The Vermont senator said the productivity gains reaped from AI should be used to give workers more time with family and friends.,positive
Mark Cuban says AI could make 'just one dude in a basement' the world's first trillionaire,The 66-year-old billionaire compared AI's potential to when computers and smartphones were first developed.,positive
Howard Lutnick says he's fine with Nvidia selling its 'fourth best' AI chips to China,Nvidia announced it has received the OK to resume selling its pared down H20 chip in China.,positive
